iter	Passed	Remaining
665	36174	45299
666	36227	45243
667	36285	45193
668	36338	45138
669	36394	45085
670	36452	45036
671	36511	44986
672	36586	44958
673	36638	44901
674	36693	44847
675	36743	44788
676	36800	44737
677	36851	44677
678	36903	44621
679	36961	44570
680	37014	44514
681	37067	44459
682	37121	44404
683	37179	44354
684	37234	44301
685	37284	44241
686	37341	44189
687	37396	44136
688	37444	44075
689	37498	44019
690	37551	43963
691	37604	43908
692	37657	43852
693	37712	43798
694	37771	43750
695	37834	43705
696	37888	43650
697	37947	43601
698	38008	43554
699	38062	43499
700	38114	43442
701	38167	43387
702	38220	43330
703	38275	43277
704	38332	43226
705	38386	43171
706	38442	43118
707	38499	43067
708	38554	43013
709	38608	42958
710	38660	42902
711	38716	42848
712	38770	42794
713	38825	42740
714	38881	42688
715	38939	42637
716	38994	42584
717	39051	42532
718	39102	42474
719	39158	42421
720	39208	42362
721	39262	42307
722	39314	42251
723	39364	42191
724	39418	42137
725	39472	42081
726	39525	42026
727	39581	41973
728	39636	41919
729	39690	41865
730	39743	41809
731	39801	41759
732	39856	41705
733	39913	41654
734	39966	41597
735	40022	41544
736	40076	41490
737	40126	41431
738	40180	41376
739	40232	41319
740	40285	41263
741	40339	41209
742	40395	41156
743	40450	41102
744	40508	41052
745	40562	40997
746	40614	40940
747	40668	40885
748	40721	40830
749	40774	40774
750	40830	40722
751	40886	40669
752	40942	40615
753	40994	40559
754	41053	40509
755	41106	40453
756	41165	40404
757	41219	40349
758	41275	40296
759	41327	40239
760	41378	40182
761	41433	40128
762	41484	40070
763	41543	40020
764	41596	39964
765	41651	39911
766	41705	39856
767	41757	39800
768	41813	39747
769	41868	39693
770	41923	39639
771	41977	39584
772	42028	39527
773	42085	39475
774	42142	39423
775	42197	39370
776	42251	39314
777	42302	39257
778	42354	39201
779	42405	39143
780	42463	39092
781	42514	39034
782	42568	38980
783	42624	38927
784	42681	38875
785	42739	38824
786	42791	38767
787	42848	38715
788	42901	38659
789	42954	38604
790	43011	38552
791	43064	38497
792	43118	38442
793	43175	38390
794	43229	38335
795	43282	38280
796	43336	38225
797	43389	38169
798	43445	38116
799	43502	38064
800	43559	38012
801	43614	37958
802	43668	37903
803	43723	37850
804	43778	37796
805	43831	37740
806	43885	37686
807	43941	37633
808	43995	37578
809	44051	37525
810	44104	37470
811	44155	37412
812	44207	37356
813	44259	37300
814	44317	37248
815	44368	37191
816	44421	37135
817	44474	37080
818	44527	37024
819	44583	36971
820	44637	36917
821	44689	36860
822	44745	36807
823	44803	36756
824	44858	36702
825	44911	36646
826	44966	36592
827	45023	36540
828	45075	36484
829	45124	36426
830	45180	36372
831	45236	36319
832	45288	36263
833	45343	36209
834	45398	36156
835	45452	36100
836	45506	36046
837	45557	35989
838	45610	35933
839	45664	35879
840	45721	35827
841	45776	35773
842	45835	35722
843	45892	35669
844	45951	35618
845	46006	35565
846	46064	35513
847	46115	35456
848	46171	35403
849	46221	35346
850	46277	35292
851	46334	35240
852	46387	35184
853	46446	35134
854	46503	35081
855	46565	35032
856	46617	34977
857	46672	34923
858	46725	34867
859	46779	34812
860	46836	34759
861	46893	34707
862	46944	34650
863	47000	34597
864	47053	34542
865	47107	34487
866	47163	34434
867	47219	34381
868	47273	34326
869	47329	34272
870	47380	34216
871	47435	34162
872	47492	34109
873	47544	34053
874	47599	33999
875	47651	33943
876	47704	33888
877	47755	33831
878	47812	33778
879	47865	33723
880	47922	33670
881	47977	33617
882	48031	33561
883	48086	33508
884	48136	33451
885	48191	33396
886	48245	33342
887	48302	33289
888	48358	33236
889	48412	33181
890	48464	33125
891	48516	33069
892	48568	33013
893	48620	32957
894	48674	32902
895	48729	32848
896	48780	32792
897	48839	32741
898	48891	32685
899	48947	32631
900	48998	32575
901	49052	32520
902	49106	32465
903	49158	32409
904	49213	32356
905	49271	32303
906	49323	32248
907	49378	32193
908	49435	32141
909	49493	32089
910	49552	32037
911	49605	31982
912	49657	31926
913	49709	31870
914	49763	31815
915	49820	31763
916	49874	31708
917	49926	31652
918	49984	31600
919	50034	31543
920	50089	31489
921	50143	31434
922	50203	31383
923	50259	31330
924	50309	31273
925	50364	31219
926	50419	31165
927	50477	31113
928	50535	31061
929	50591	31007
930	50660	30961
931	50729	30916
932	50787	30864
933	50841	30809
934	50895	30754
935	50948	30699
936	51005	30646
937	51059	30592
938	51113	30537
939	51168	30483
940	51220	30427
941	51279	30375
942	51333	30320
943	51390	30268
944	51453	30218
945	51509	30165
946	51567	30113
947	51621	30058
948	51679	30005
949	51735	29952
950	51786	29895
951	51838	29839
952	51895	29786
953	51952	29733
954	52011	29681
955	52066	29628
956	52117	29571
957	52173	29517
958	52224	29461
959	52280	29408
960	52334	29353
961	52390	29299
962	52441	29243
963	52499	29190
964	52556	29137
965	52610	29082
966	52664	29028
967	52716	28972
968	52773	28919
969	52830	28865
970	52886	28812
971	52942	28758
972	52992	28701
973	53047	28647
974	53103	28594
975	53158	28540
976	53213	28485
977	53270	28432
978	53322	28376
979	53381	28324
980	53439	28272
981	53491	28216
982	53550	28164
983	53604	28109
984	53653	28052
985	53707	27997
986	53760	27942
987	53819	27890
988	53874	27836
989	53932	27783
990	53989	27730
991	54042	27674
992	54095	27619
993	54153	27566
994	54210	27513
995	54258	27456
996	54314	27402
997	54373	27349
998	54428	27295
999	54485	27242
1000	54540	27188
1001	54598	27135
1002	54657	27083
1003	54714	27030
1004	54767	26974
1005	54820	26919
1006	54878	26866
1007	54932	26812
1008	54989	26759
1009	55044	26704
1010	55098	26650
1011	55153	26595
1012	55209	26542
1013	55269	26490
1014	55327	26437
1015	55383	26383
1016	55436	26328
1017	55487	26272
1018	55548	26220
1019	55610	26169
1020	55666	26116
1021	55727	26064
1022	55784	26010
1023	55843	25958
