t,owner,stored_on,buyer,qty_kWh
33313,13,8,13,0.01750011461326295
33313,23,8,23,0.018341243217432357
33314,13,8,13,0.005645811767679535
33314,23,8,23,0.003995211247846044
33330,17,8,17,0.13219623830249105
33330,22,11,22,0.08678597441703317
33331,13,14,13,0.034114398058562756
33331,17,8,17,0.3530753138171878
33331,22,20,22,0.32486712528196193
33331,23,20,23,0.033940015965072234
33332,13,8,13,0.04472262168357233
33332,17,8,17,0.3831476600561503
33332,22,10,22,0.04942850384250361
33332,22,11,22,0.1763286566622468
33332,22,20,22,0.10566347795876752
33332,22,21,22,0.02221568825675648
33332,23,20,23,0.0438834049098169
33333,13,8,13,0.04553400323990431
33333,17,8,17,0.38086894117662595
33333,22,11,22,0.33421530604411664
33333,22,14,22,0.017471592236980717
33333,23,11,23,0.044608864677152305
33334,13,8,13,0.04236577577473
33334,17,8,17,0.2718115218987333
33334,22,11,22,0.06684133741537153
33334,22,14,22,0.25420476119788166
33334,23,11,23,0.04152304736506274
33335,13,8,13,0.039211965726916986
33335,17,8,17,0.11064494085134302
33335,22,14,22,0.14425595277295183
33335,23,14,23,0.03845127245257274
33336,13,8,13,0.03635551491218347
33336,23,8,23,0.03566912203183126
33355,17,8,17,0.22401699602233816
33355,22,20,22,0.18662223412237466
33356,13,14,13,0.01402550491573784
33356,17,8,17,0.35229790548299356
33356,22,20,22,0.3212951905876995
33356,23,24,23,0.015540362405200625
33357,13,14,13,0.04092463072650343
33357,17,8,17,0.37112745133609604
33357,22,20,22,0.3422001170703499
33357,23,24,23,0.040313838335502616
33358,13,14,13,0.03821415626255398
33358,17,8,17,0.3504706325253508
33358,22,20,22,0.323091633177615
33358,23,24,23,0.03767386721071109
33359,13,14,13,0.03550368179860541
33359,17,8,17,0.2986242937598011
33359,17,14,17,0.03118951995480579
33359,22,20,22,0.3039831492848801
33359,23,20,23,0.02570180071884769
33359,23,24,23,0.009332095367072135
33360,13,8,13,0.032594967845936296
33360,17,8,17,0.13284616155083304
33360,22,11,22,0.065764838634501
33360,22,14,22,0.10124708124944495
33360,23,11,23,0.03220084196662931
33361,13,8,13,0.030253939701873733
33361,23,8,23,0.029920707331586804
33379,9,8,9,0.7033670458977861
33379,9,14,9,0.1385475658696623
33379,12,20,12,0.013186746690417195
33379,17,14,17,0.10014164063859354
33379,22,4,22,0.037798408971129405
33380,9,8,9,0.6837426430436485
33380,9,14,9,0.4545714476013534
33380,12,24,12,0.7299288338761594
33380,12,25,12,0.05551091579371388
33380,17,10,17,0.05500697850297064
33380,17,14,17,0.1792343623941478
33380,17,20,17,0.13683803464274646
33380,17,21,17,0.024722939020405642
33380,22,2,22,0.1094533202253122
33380,22,3,22,0.04149248343299528
33380,22,5,22,0.13468719844680585
33381,9,8,9,0.6700300082067256
33381,9,14,9,0.4057573396700428
33381,12,24,12,0.7434396191537765
33381,13,24,13,0.027442920919305003
33381,17,10,17,0.05390379937941036
33381,17,14,17,0.21533733153894047
33381,17,20,17,0.11877351080659082
33381,17,21,17,0.024227114109773722
33381,22,2,22,0.10725820569324601
33381,22,3,22,0.040660340989369124
33381,22,5,22,0.28517940859277735
33382,9,8,9,0.45477113536927566
33382,9,14,9,0.4902073952488566
33382,12,7,12,0.23745249349441508
33382,12,24,12,0.20461248688798372
33382,12,25,12,0.21437790318770064
33382,13,7,13,0.029586318375985243
33382,15,24,15,0.23448361872388468
33382,16,24,16,0.4018548237214846
33382,17,10,17,0.053054512371807167
33382,17,11,17,0.04373526925484708
33382,17,14,17,0.12110155323144581
33382,17,20,17,0.1360660109397971
33382,17,21,17,0.02384540125312844
33382,22,2,22,0.028333075533622146
33382,22,3,22,0.040019712689981085
33383,9,8,9,0.3781397960605188
33383,9,14,9,0.2778006413392678
33383,12,7,12,0.1481788737870396
33383,12,24,12,0.10396346113373998
33383,12,25,12,0.2129835401197525
33383,13,7,13,0.026191418417119472
33383,15,24,15,0.41356395482392205
33383,16,20,16,0.09649213863876921
33383,16,24,16,0.4468687989057474
33383,17,10,17,0.05270943365082316
33383,17,11,17,0.04829142785885825
33383,17,14,17,0.07272188664992259
33383,17,20,17,0.1460544487192843
33383,17,21,17,0.02369030529242836
33383,22,2,22,0.10488164733438009
33383,22,3,22,0.039759415296756084
33383,22,5,22,0.36458154428900946
33384,9,8,9,0.07966909465686599
33384,12,11,12,0.08118901964144332
33384,12,14,12,0.002548420647759864
33384,13,11,13,0.023262880515578566
33384,15,14,15,0.02580115544776698
33384,16,14,16,0.14717027592650775
33384,17,8,17,0.2890074276377503
33384,17,14,17,0.032141370698819394
33384,19,4,19,0.11806672402066165
33384,19,6,19,0.011878371495533321
33384,19,7,19,0.10171642093024094
33384,22,20,22,0.1223786011905526
33384,22,24,22,0.27199742583093567
33384,23,24,23,0.10863980891681368
33385,13,8,13,0.020965104623600794
33385,23,8,23,0.021521654090835618
33386,13,8,13,0.004542718607629593
